#Frame      Mode1    Mode2    Mode3
     775  -58.263  -30.085   13.792
     776  -52.374  -38.057   24.892
     777  -59.508  -30.105   30.684
     778  -64.295  -29.279   34.687
     779  -57.067  -43.002   23.039
     780  -58.860  -38.261   13.142
     781  -81.525  -30.545   31.726
     782  -60.073  -39.223   23.612
     783  -74.526  -19.358   25.162
     784  -60.449  -23.388   44.365
     785  -71.012  -10.298   40.186
     786  -84.513  -14.884   40.151
     787  -61.323  -26.837   25.721
     788  -78.093  -11.114   40.525
     789  -77.826   -9.444   38.114
     790  -69.497  -15.828   44.017
     791  -51.132  -11.401   39.998
     792  -63.948  -15.839   16.759
     793  -73.940   -1.671   30.601
     794  -74.067    0.598   35.156
     795  -63.502  -12.374   29.558
     796  -64.204  -17.529   38.443
     797  -92.352   -4.447   35.396
     798  -61.017  -21.833   26.930
     799  -50.011  -16.248   38.122
     800  -48.902  -16.523   19.875
     801  -68.982   -4.479   24.578
     802  -71.694  -25.727   26.887
     803  -68.631  -19.699   15.929
     804  -69.790  -28.860   16.730
     805  -84.112  -17.416   22.453
     806  -57.983  -44.697    4.290
     807  -66.392  -34.704   14.902
     808  -70.074  -26.053   11.568
     809  -74.954  -30.239   26.365
     810  -33.996  -53.579   11.205
     811  -56.112  -37.823   27.405
     812  -65.944  -30.210   24.165
     813  -62.951  -41.714   15.612
     814  -70.108  -31.209   35.507
     815  -54.767  -45.440   22.697
     816  -55.553  -67.319   14.098
     817  -69.326  -42.149   20.189
